D4,.75
D4,.25
D4,.5
C4,.5
D4,.5
F4,.5
F4,.5
G4,.5
D4,.75
D4,.25
D4,.5
C4,.5
D4,.5
C4,.5
A3,.5
C4,.5
D4,.75
D4,.25
D4,.5
C4,.5
D4,.5
F4,.5
F4,.5
G4,.5
A4,1
G4,.5
A4,.25
G4,.25
F4,1
D4,1
D4,.75
D4,.25
D4,.5
C4,.5
D4,.5
F4,.5
F4,.5
G4,.5
D4,.75
D4,.25
D4,.5
C4,.5
D4,.5
C4,.5
A3,.5
C4,.5
D4,.75
D4,.25
D4,.5
C4,.5
D4,.5
F4,.5
F4,.5
G4,.5
A4,1
G4,.5
A4,.25
G4,.25
F4,1
D4,1
F4,1
E4,1
D4,1
C4,1
C4,.5
C4,.25
D4,.25
A3,.5
G3,.5
A3,1
0,1
A3,.5
C4,.5
D4,1
G4,1
E4,1
F4,.75
F4,.25
E4,.5
C4,.5
D4,1
0,1
F4,1
E4,1
D4,1
C4,1
C4,.5
C4,.25
D4,.25
A3,.5
G3,.5
A3,1
A3,.5
C4,.5
D4,.5
D4,1
D4,.5
F4,1
G4,1
E4,1
0,2
D4,.5
F4,.5,          ||:
G4,.75
G4,.75
A4,.5
A4,1.5
A4,.5
C5,.5
D5,.5
G4,.5
F4,.5
A4,1
D4,.5
F4,.5
G4,.75
G4,.75
A4,.5
A4,1.5
A4,.5
A4#,.5
A4,.5
G4,.5
F4,.5
F4,1
D4,.5
F4,.5
G4,.75
G4,.75
A4,.5
A4,1.5
A4,.5
C5,.5
D5,.5
G4,.5
F4,.5
A4,1
D4,.5
F4,.5
A4#,1
A4,1
G4,1
F4,1,     ||1 -
G4,.5
A4,.5
E4,.5
C4,.5
D4,1
D4,.5
F4,.5,    ||
G4,.75,   ::
G4,.75
A4,.5
A4,1.5
A4,.5
C5,.5
D5,.5
G4,.5
F4,.5
A4,1
D4,.5
F4,.5
G4,.75
G4,.75
A4,.5
A4,1.5
A4,.5
A4#,.5
A4,.5
G4,.5
F4,.5
F4,1
D4,.5
F4,.5
G4,.75
G4,.75
A4,.5
A4,1.5
A4,.5
C5,.5
D5,.5
G4,.5
F4,.5
A4,1
D4,.5
F4,.5
A4#,1
A4,1
G4,1
F4,1,  ||2
G4,.5
F4,.5
A4,.5
C5,.5
D5,1
0,1,   :||